Region,Year,Population,MalePopulation,FemalePopulation,GenderRatio
강화군,2015,62159.0,31227.0,30932.0,101.0
강화군,2016,62587.0,31455.0,31132.0,101.0
강화군,2017,62729.0,31559.0,31170.0,101.2
강화군,2018,63164.0,31779.0,31385.0,101.3
강화군,2019,63524.0,31980.0,31544.0,101.4
강화군,2020,63865.0,32171.0,31694.0,101.5
강화군,2021,64467.0,32503.0,31964.0,101.7
강화군,2022,65089.0,32828.0,32261.0,101.8
강화군,2023,65757.0,33185.0,32572.0,101.9
강화군,2024,66439.0,33547.0,32892.0,102.0
계양구,2015,329762.0,164296.0,165466.0,99.3
계양구,2016,325123.0,161936.0,163187.0,99.2
계양구,2017,317353.0,157902.0,159451.0,99.0
계양구,2018,313174.0,155851.0,157323.0,99.1
계양구,2019,308282.0,153468.0,154814.0,99.1
계양구,2020,304949.0,151863.0,153086.0,99.2
계양구,2021,302438.0,150662.0,151776.0,99.3
계양구,2022,300066.0,149514.0,150552.0,99.3
계양구,2023,297960.0,148491.0,149469.0,99.3
계양구,2024,296111.0,147587.0,148524.0,99.4
남구,2015,407635.0,206731.0,200904.0,102.9
남구,2016,408014.0,206892.0,201122.0,102.9
남구,2017,414097.0,209881.0,204216.0,102.8
남구,2018,425153.0,215576.0,209577.0,102.9
남구,2019,418314.0,211913.0,206401.0,102.7
남구,2020,419138.0,212190.0,206948.0,102.5
남구,2021,421782.0,213445.0,208337.0,102.5
남구,2022,423532.0,214237.0,209295.0,102.4
남구,2023,425441.0,215101.0,210340.0,102.3
남구,2024,427471.0,216022.0,211449.0,102.2
남동구,2015,520551.0,261930.0,258621.0,101.3
남동구,2016,529651.0,266437.0,263214.0,101.2
남동구,2017,543265.0,273261.0,270004.0,101.2
남동구,2018,553588.0,278155.0,275433.0,101.0
남동구,2019,547953.0,274924.0,273029.0,100.7
남동구,2020,545388.0,273318.0,272070.0,100.5
남동구,2021,546573.0,273678.0,272895.0,100.3
남동구,2022,550876.0,275656.0,275220.0,100.2
남동구,2023,554960.0,277523.0,277437.0,100.0
남동구,2024,558823.0,279296.0,279527.0,99.9
동구,2015,71703.0,36015.0,35688.0,100.9
동구,2016,70168.0,35252.0,34916.0,101.0
동구,2017,67975.0,34186.0,33789.0,101.2
동구,2018,66056.0,33258.0,32798.0,101.4
동구,2019,64878.0,32685.0,32193.0,101.5
동구,2020,63866.0,32204.0,31662.0,101.7
동구,2021,63099.0,31841.0,31258.0,101.9
동구,2022,62527.0,31565.0,30962.0,101.9
동구,2023,62105.0,31371.0,30734.0,102.1
동구,2024,61813.0,31234.0,30579.0,102.1
부평구,2015,549781.0,273399.0,276382.0,98.9
부평구,2016,547602.0,272128.0,275474.0,98.8
부평구,2017,532839.0,264344.0,268495.0,98.5
부평구,2018,525247.0,260458.0,264789.0,98.4
부평구,2019,518477.0,257018.0,261459.0,98.3
부평구,2020,511581.0,253495.0,258086.0,98.2
부평구,2021,507030.0,251136.0,255894.0,98.1
부평구,2022,503026.0,249065.0,253961.0,98.1
부평구,2023,499587.0,247278.0,252309.0,98.0
부평구,2024,496629.0,245728.0,250901.0,97.9
서구,2015,497326.0,253082.0,244244.0,103.6
서구,2016,505385.0,257309.0,248076.0,103.7
서구,2017,507393.0,258374.0,249019.0,103.8
서구,2018,509795.0,259180.0,250615.0,103.4
서구,2019,527552.0,267972.0,259580.0,103.2
서구,2020,556174.0,282373.0,273801.0,103.1
서구,2021,574780.0,291614.0,283166.0,103.0
서구,2022,589402.0,298837.0,290565.0,102.8
서구,2023,602615.0,305358.0,297257.0,102.7
서구,2024,614557.0,311261.0,303296.0,102.6
연수구,2015,312882.0,156458.0,156424.0,100.0
연수구,2016,326029.0,162921.0,163108.0,99.9
연수구,2017,344388.0,171864.0,172524.0,99.6
연수구,2018,349221.0,174172.0,175049.0,99.5
연수구,2019,374131.0,186793.0,187338.0,99.7
연수구,2020,371348.0,185097.0,186251.0,99.4
연수구,2021,374202.0,186351.0,187851.0,99.2
연수구,2022,377629.0,187910.0,189719.0,99.0
연수구,2023,380792.0,189340.0,191452.0,98.9
연수구,2024,383717.0,190656.0,193061.0,98.8
옹진군,2015,18532.0,10501.0,8031.0,130.8
옹진군,2016,18906.0,10801.0,8105.0,133.3
옹진군,2017,18804.0,10720.0,8084.0,132.6
옹진군,2018,19154.0,10934.0,8220.0,133.0
옹진군,2019,19527.0,11152.0,8375.0,133.2
옹진군,2020,19881.0,11353.0,8528.0,133.1
옹진군,2021,20291.0,11585.0,8706.0,133.1
옹진군,2022,20658.0,11781.0,8877.0,132.7
옹진군,2023,20991.0,11954.0,9037.0,132.3
옹진군,2024,21308.0,12112.0,9196.0,131.7
중구,2015,112537.0,57820.0,54717.0,105.7
중구,2016,113330.0,58329.0,55001.0,106.1
중구,2017,114204.0,58885.0,55319.0,106.4
중구,2018,117453.0,60655.0,56798.0,106.8
중구,2019,118110.0,61033.0,57077.0,106.9
중구,2020,122516.0,63398.0,59118.0,107.2
중구,2021,126363.0,65436.0,60927.0,107.4
중구,2022,129392.0,67036.0,62356.0,107.5
중구,2023,132114.0,68462.0,63652.0,107.6
중구,2024,134565.0,69736.0,64829.0,107.6
