,,중구,동구,남구,연수구,남동구,부평구,계양구,서구,강화군,옹진군
2015,인구 (명),112537.0,71703.0,407635.0,312882.0,520551.0,549781.0,329762.0,497326.0,62159.0,18532.0
2015,구성비 (%),3.9,2.5,14.1,10.9,18.1,19.1,11.4,17.3,2.2,0.6
2016,인구 (명),113330.0,70168.0,408014.0,326029.0,529651.0,547602.0,325123.0,505385.0,62587.0,18906.0
2016,구성비 (%),3.9,2.4,14.0,11.2,18.2,18.8,11.2,17.4,2.2,0.7
2017,인구 (명),114204.0,67975.0,414097.0,344388.0,543265.0,532839.0,317353.0,507393.0,62729.0,18804.0
2017,구성비 (%),3.9,2.3,14.2,11.8,18.6,18.2,10.9,17.4,2.1,0.6
2018,인구 (명),117453.0,66056.0,425153.0,349221.0,553588.0,525247.0,313174.0,509795.0,63164.0,19154.0
2018,구성비 (%),4.0,2.2,14.5,11.9,18.8,17.9,10.6,17.3,2.1,0.7
2019,인구 (명),118110.0,64878.0,418314.0,374131.0,547953.0,518477.0,308282.0,527552.0,63524.0,19527.0
2019,구성비 (%),4.0,2.2,14.1,12.6,18.5,17.5,10.4,17.8,2.1,0.7
2020,인구 (명),122516.0,63866.0,419138.0,371348.0,545388.0,511581.0,304949.0,556174.0,63865.0,19881.0
2020,구성비 (%),4.1,2.1,14.1,12.5,18.3,17.2,10.2,18.7,2.1,0.7
2021,인구 (명),126363.0,63099.0,421782.0,374202.0,546573.0,507030.0,302438.0,574780.0,64467.0,20291.0
2021,구성비 (%),4.2,2.1,14.1,12.5,18.2,16.9,10.1,19.2,2.1,0.7
2022,인구 (명),129392.0,62527.0,423532.0,377629.0,550876.0,503026.0,300066.0,589402.0,65089.0,20658.0
2022,구성비 (%),4.3,2.1,14.0,12.5,18.2,16.6,9.9,19.5,2.2,0.7
2023,인구 (명),132114.0,62105.0,425441.0,380792.0,554960.0,499587.0,297960.0,602615.0,65757.0,20991.0
2023,구성비 (%),4.3,2.0,14.0,12.5,18.2,16.4,9.8,19.8,2.2,0.7
2024,인구 (명),134565.0,61813.0,427471.0,383717.0,558823.0,496629.0,296111.0,614557.0,66439.0,21308.0
2024,구성비 (%),4.4,2.0,14.0,12.5,18.3,16.2,9.7,20.1,2.2,0.7
